央视频道,#genre#
CCTV-8 电视剧,http://keenny.synology.me:8000/rtp/239.3.1.175:8001$北京联通6
CCTV-8 电视剧,http://i.hypo.name:9999/rtp/239.3.1.175:8001$北京联通7
CCTV-8 电视剧,http://geewolf.i234.me:8888/rtp/239.3.1.175:8001$北京联通8
CCTV-8 电视剧,http://happylive.asuscomm.com:8888/rtp/239.3.1.175:8001$北京联通9
CCTV-9 纪录,http://svenlone126.cn:8888/udp/225.1.1.119:5002$天津联通1
CCTV-9 纪录,http://ycnas.zixi.ltd:8888/udp/225.1.1.119:5002$天津联通2
CCTV-9 纪录,http://117.10.248.112:5002/udp/225.1.1.119:5002$天津联通3
CCTV-9 纪录,http://60.26.60.119:8000/udp/225.1.1.119:5002$天津联通4
CCTV-9 纪录,http://221.196.69.170:8888/udp/225.1.1.119:5002$天津联通5
CCTV-9 纪录,http://60.26.208.155:50000/udp/225.1.1.119:5002$天津联通6
CCTV-9 纪录,http://mtjkwdrive.zzmd.fun:8888/rtp/239.3.1.62:8112$北京联通1
CCTV-9 纪录,http://ikuai.zlsip.top:4022/rtp/239.3.1.62:8112$北京联通2
CCTV-9 纪录,http://www.ljun.cc:2888/rtp/239.3.1.62:8112$北京联通3
CCTV-9 纪录,http://wg.mxmy.net:8888/rtp/239.3.1.62:8112$北京联通4
CCTV-9 纪录,http://yun.jinsome.com:8686/rtp/239.3.1.62:8112$北京联通5
CCTV-9 纪录,http://keenny.synology.me:8000/rtp/239.3.1.62:8112$北京联通6
CCTV-9 纪录,http://i.hypo.name:9999/rtp/239.3.1.62:8112$北京联通7
CCTV-9 纪录,http://geewolf.i234.me:8888/rtp/239.3.1.62:8112$北京联通8
CCTV-9 纪录,http://happylive.asuscomm.com:8888/rtp/239.3.1.62:8112$北京联通9
CCTV-10 科教,http://svenlone126.cn:8888/udp/225.1.1.140:5002$天津联通1
CCTV-10 科教,http://ycnas.zixi.ltd:8888/udp/225.1.1.140:5002$天津联通2
CCTV-10 科教,http://117.10.248.112:5002/udp/225.1.1.140:5002$天津联通3
CCTV-10 科教,http://60.26.60.119:8000/udp/225.1.1.140:5002$天津联通4
CCTV-10 科教,http://221.196.69.170:8888/udp/225.1.1.140:5002$天津联通5
CCTV-10 科教,http://60.26.208.155:50000/udp/225.1.1.140:5002$天津联通6
CCTV-10 科教,http://mtjkwdrive.zzmd.fun:8888/rtp/239.3.1.63:8116$北京联通1
CCTV-10 科教,http://ikuai.zlsip.top:4022/rtp/239.3.1.63:8116$北京联通2
CCTV-10 科教,http://www.ljun.cc:2888/rtp/239.3.1.63:8116$北京联通3
CCTV-10 科教,http://wg.mxmy.net:8888/rtp/239.3.1.63:8116$北京联通4
CCTV-10 科教,http://yun.jinsome.com:8686/rtp/239.3.1.63:8116$北京联通5
CCTV-10 科教,http://keenny.synology.me:8000/rtp/239.3.1.63:8116$北京联通6
CCTV-10 科教,http://i.hypo.name:9999/rtp/239.3.1.63:8116$北京联通7
CCTV-10 科教,http://geewolf.i234.me:8888/rtp/239.3.1.63:8116$北京联通8
CCTV-10 科教,http://happylive.asuscomm.com:8888/rtp/239.3.1.63:8116$北京联通9
